#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0021.contigs.fasta	NODE_12_length_52645_cov_7.980879	41075	41518	+	mgrA	1-444/444	===============	0/0	100.00	99.78	card	BA000018.3:735860-735416	MgrA also known as NorR is a regulator for norA norB and tet38. It is a positive regulator for norA expression but is a direct repressor for norB and an indirect repressor of tet38.	acridine_dye;cephalosporin;disinfecting_agents_and_intercalating_dyes;fluoroquinolone;penam;peptide;tetracycline
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0021.contigs.fasta	NODE_21_length_38859_cov_7.903415	3508	3983	-	mecC-type_BlaZ	1-476/480	===============	0/0	99.17	97.69	card	FR823292:0-480	A blaZ-like beta-lactamase found in S. Aureus	penam
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0021.contigs.fasta	NODE_5_length_116930_cov_10.431012	20053	21494	+	Staphylococcus_aureus_LmrS	2-1443/1443	===============	0/0	99.93	91.33	card	CP000046.1:2236817-2235374	MFS transporters are secondary active transporters with single-polypeptide chains containing 400-600 amino acids that transport small solutes across the membrane by using electrochemical gradients. LmrS has 14 transmembrane helices and when expressed in E. coli is capable of extruding a variety of antibiotics inclinding linezolid trimethoprim florfenicol chlorampheniocol erythromycin streptomycin kanamycin and fusidic acid	aminoglycoside;diaminopyrimidine;macrolide;oxazolidinone;phenicol
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0021.contigs.fasta	NODE_6_length_109867_cov_8.669884	89103	89522	-	Staphylococcus_aureus_FosB	1-420/420	===============	0/0	100.00	99.05	card	AHLO01000073.1:63138-63558	The Bacillus subtilis fosB gene encodes a fosfomycin resistance protein	fosfomycin
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0021.contigs.fasta	NODE_74_length_3320_cov_9.717676	1821	3173	+	tet(38)	1-1353/1353	===============	0/0	100.00	98.82	card	AY825285:0-1353	Tet38 is a tetracycline efflux pump found in the Gram-positive Staphylococcus aureus. It is regulated by mgrA which also regulates NorB.	tetracycline
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0021.contigs.fasta	NODE_7_length_84813_cov_9.059778	36064	36483	+	mepR	1-420/420	===============	0/0	100.00	98.81	card	BA000017.4:379931-380351	MepR is an upstream repressor of MepA in Staphylococcus aureus. It is part of the mepRAB operon.	glycylcycline;tetracycline
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0021.contigs.fasta	NODE_7_length_84813_cov_9.059778	36590	37945	+	mepA	1-1356/1356	===============	0/0	100.00	98.53	card	AY661734.1:839-2195	MepA is an efflux protein regulated by MepR and part of the MepRAB cluster. Its presence in Staphylococcus aureus led to multidrug resistance while it has also been shown to decrease tigecycline susceptibility.	glycylcycline;tetracycline
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0021.contigs.fasta	NODE_9_length_70496_cov_7.229979	550	1209	+	arlR	1-660/660	===============	0/0	100.00	99.24	card	CP023390.1:1462248-1461588	ArlR is a response regulator that binds to the norA promoter to activate expression. ArlR must first be phosphorylated by ArlS.	acridine_dye;disinfecting_agents_and_intercalating_dyes;fluoroquinolone
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0021.contigs.fasta	NODE_9_length_70496_cov_7.229979	1206	2561	+	arlS	1-1356/1356	===============	0/0	100.00	98.82	card	CP000253.1:1361636-1360280	ArlS is a protein histidine kinase that phosphorylates ArlR a promoter for norA expression.	acridine_dye;disinfecting_agents_and_intercalating_dyes;fluoroquinolone
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0023.contigs.fasta	NODE_102_length_2497_cov_4.071023	401	1060	+	arlR	1-660/660	===============	0/0	100.00	98.79	card	CP023390.1:1462248-1461588	ArlR is a response regulator that binds to the norA promoter to activate expression. ArlR must first be phosphorylated by ArlS.	acridine_dye;disinfecting_agents_and_intercalating_dyes;fluoroquinolone
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0023.contigs.fasta	NODE_102_length_2497_cov_4.071023	1057	2412	+	arlS	1-1356/1356	===============	0/0	100.00	98.75	card	CP000253.1:1361636-1360280	ArlS is a protein histidine kinase that phosphorylates ArlR a promoter for norA expression.	acridine_dye;disinfecting_agents_and_intercalating_dyes;fluoroquinolone
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0023.contigs.fasta	NODE_16_length_41046_cov_6.513301	33056	33475	+	mepR	1-420/420	===============	0/0	100.00	99.29	card	BA000017.4:379931-380351	MepR is an upstream repressor of MepA in Staphylococcus aureus. It is part of the mepRAB operon.	glycylcycline;tetracycline
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0023.contigs.fasta	NODE_16_length_41046_cov_6.513301	33582	34937	+	mepA	1-1356/1356	===============	0/0	100.00	98.30	card	AY661734.1:839-2195	MepA is an efflux protein regulated by MepR and part of the MepRAB cluster. Its presence in Staphylococcus aureus led to multidrug resistance while it has also been shown to decrease tigecycline susceptibility.	glycylcycline;tetracycline
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0023.contigs.fasta	NODE_35_length_29397_cov_6.472347	147	1499	-	tet(38)	1-1353/1353	===============	0/0	100.00	98.60	card	AY825285:0-1353	Tet38 is a tetracycline efflux pump found in the Gram-positive Staphylococcus aureus. It is regulated by mgrA which also regulates NorB.	tetracycline
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0023.contigs.fasta	NODE_4_length_85699_cov_5.682698	1476	2642	-	Staphylococcus_aureus_norA	1-1167/1167	===============	0/0	100.00	99.91	card	D90119.1:477-1644	NorA gene cloned from Staphylococcus aureus conferred relatively high resistance to hydrophilic quinolones such as norfloxacin enoxacin ofloxacin and ciprofloxacin in S. aureus and Escherichia coli. Had low or no resistance at all to hydrophobic ones such as nalidixic acid oxolinic acid and sparfloxacin in S. aureus and Escherichia coli.	fluoroquinolone
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0023.contigs.fasta	NODE_4_length_85699_cov_5.682698	10293	10736	+	mgrA	1-444/444	===============	0/0	100.00	100.00	card	BA000018.3:735860-735416	MgrA also known as NorR is a regulator for norA norB and tet38. It is a positive regulator for norA expression but is a direct repressor for norB and an indirect repressor of tet38.	acridine_dye;cephalosporin;disinfecting_agents_and_intercalating_dyes;fluoroquinolone;penam;peptide;tetracycline
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0023.contigs.fasta	NODE_54_length_18661_cov_6.169744	8802	9277	-	mecC-type_BlaZ	1-476/480	===============	0/0	99.17	98.32	card	FR823292:0-480	A blaZ-like beta-lactamase found in S. Aureus	penam
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0023.contigs.fasta	NODE_79_length_8132_cov_25.161625	6553	7995	-	Staphylococcus_aureus_LmrS	1-1443/1443	===============	0/0	100.00	96.40	card	CP000046.1:2236817-2235374	MFS transporters are secondary active transporters with single-polypeptide chains containing 400-600 amino acids that transport small solutes across the membrane by using electrochemical gradients. LmrS has 14 transmembrane helices and when expressed in E. coli is capable of extruding a variety of antibiotics inclinding linezolid trimethoprim florfenicol chlorampheniocol erythromycin streptomycin kanamycin and fusidic acid	aminoglycoside;diaminopyrimidine;macrolide;oxazolidinone;phenicol
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0023.contigs.fasta	NODE_81_length_7520_cov_689.226793	1593	2972	-	tet(K)	1-1380/1380	===============	0/0	100.00	99.64	card	S67449.1:0-1380	TetK is a tetracycline efflux protein found in both Gram-negative (Haemophilus and Gallibacterium) and Gram-positive (many species including mycobacteria) bacteria.	tetracycline
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0024.contigs.fasta	NODE_16_length_42994_cov_13.085054	6113	7468	-	mepA	1-1356/1356	===============	0/0	100.00	98.82	card	AY661734.1:839-2195	MepA is an efflux protein regulated by MepR and part of the MepRAB cluster. Its presence in Staphylococcus aureus led to multidrug resistance while it has also been shown to decrease tigecycline susceptibility.	glycylcycline;tetracycline
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0024.contigs.fasta	NODE_16_length_42994_cov_13.085054	7575	7994	-	mepR	1-420/420	===============	0/0	100.00	99.29	card	BA000017.4:379931-380351	MepR is an upstream repressor of MepA in Staphylococcus aureus. It is part of the mepRAB operon.	glycylcycline;tetracycline
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0024.contigs.fasta	NODE_18_length_40217_cov_11.151677	37184	38626	+	Staphylococcus_aureus_LmrS	1-1443/1443	===============	0/0	100.00	99.03	card	CP000046.1:2236817-2235374	MFS transporters are secondary active transporters with single-polypeptide chains containing 400-600 amino acids that transport small solutes across the membrane by using electrochemical gradients. LmrS has 14 transmembrane helices and when expressed in E. coli is capable of extruding a variety of antibiotics inclinding linezolid trimethoprim florfenicol chlorampheniocol erythromycin streptomycin kanamycin and fusidic acid	aminoglycoside;diaminopyrimidine;macrolide;oxazolidinone;phenicol
